"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
49, 3.388678174205521e-02, 1.500000000000000e-02, 2.585619143703243e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145344710e+06, 5.004591277109488e-01, 5.000652872447231e-01
50, 3.522053618687569e-02, 1.500000000000000e-02, 2.588260840033109e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145371425e+06, 5.005141107423761e-01, 4.996942230036266e-01
51, 3.642091519597882e-02, 1.500000000000000e-02, 2.591272552967838e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145395172e+06, 5.006263983736917e-01, 4.990306091659075e-01
52, 3.750125632292769e-02, 1.500000000000000e-02, 2.594528847516202e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145416892e+06, 5.008288063939084e-01, 4.979128659026620e-01
53, 3.847356335180746e-02, 1.500000000000000e-02, 2.597909717126662e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145436078e+06, 5.011617239919630e-01, 4.961379383970339e-01
54, 3.934863965260828e-02, 1.500000000000000e-02, 2.601307946703750e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145453599e+06, 5.016703929218080e-01, 4.934734630591361e-01
55, 4.013620832863377e-02, 1.500000000000000e-02, 2.604635203151172e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145469454e+06, 5.024009363101012e-01, 4.896781437559058e-01
56, 4.084502015853671e-02, 1.500000000000000e-02, 2.607823758439998e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145483644e+06, 5.033957830912843e-01, 4.845260481015387e-01
57, 4.148295081246001e-02, 1.500000000000000e-02, 2.610825932527316e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145496170e+06, 5.046895994377059e-01, 4.778290531533546e-01
58, 4.205708839699322e-02, 1.500000000000000e-02, 2.613612450387649e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145507898e+06, 5.063067595014268e-01, 4.694517575145359e-01
59, 4.257381220987533e-02, 1.500000000000000e-02, 2.616168709470986e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145517889e+06, 5.082610340541450e-01, 4.593146651092969e-01
60, 4.303886363099783e-02, 1.500000000000000e-02, 2.618490962258109e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145527084e+06, 5.105579413955955e-01, 4.473833472980256e-01
61, 4.345740992915560e-02, 1.500000000000000e-02, 2.620582496045434e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145535410e+06, 5.132001061292623e-01, 4.336416765306615e-01
62, 4.383410160736598e-02, 1.500000000000000e-02, 2.622448777548914e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145542939e+06, 5.161967015239917e-01, 4.180435918853556e-01
63, 4.417312410716411e-02, 1.500000000000000e-02, 2.624087021969151e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145549600e+06, 5.195811855590969e-01, 4.004225059635035e-01
64, 4.447824434783570e-02, 1.500000000000000e-02, 2.625432507763403e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145555899e+06, 5.234537719239247e-01, 3.802730544453454e-01
65, 4.475285257491243e-02, 1.500000000000000e-02, 2.626512450520493e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.014109000000000e+05, 1.000000000000000e-10, 1.719130145561329e+06, 5.281418296515499e-01, 3.559232671955995e-01
66, 4.500000000000000e-02, 1.491761752499229e-02, 2.628505537672658e+00, 3.315072555742255e-03, -4.337702079854724e-04, 3.014109000000000e+05, 6.426111783238481e-08, 1.915986921502388e+05, 5.338965713690424e-01, 3.261223854014793e-01
67, 4.500000000000000e-02, 1.482608144932620e-02, 2.628614506352016e+00, 1.043630227737364e-02, -1.094950531555859e-03, 3.014109000000000e+05, 6.156596670134539e-07, 4.849632869044082e+04, 5.325123179912744e-01, 3.332341634274243e-01
68, 4.500000000000000e-02, 1.472437470246734e-02, 2.628676146056415e+00, 2.180010623274539e-02, -2.174603583620008e-03, 3.014109000000000e+05, 2.734185881697856e-06, 1.848114315878127e+04, 5.311993627015077e-01, 3.399944495466315e-01
69, 4.500000000000000e-02, 1.461136720257259e-02, 2.628763728139089e+00, 3.830045329626432e-02, -3.791001623606646e-03, 3.014109000000000e+05, 8.388756887903215e-06, 8.951074599032467e+03, 5.299038313551816e-01, 3.466908746200107e-01
70, 4.500000000000000e-02, 1.448580330989022e-02, 2.628854408708109e+00, 6.115903624409776e-02, -6.162038397458942e-03, 3.014109000000000e+05, 2.108905683866231e-05, 5.098410301736407e+03, 5.285871366468613e-01, 3.535320932610718e-01
