"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1835,7.857142857142857e-01,5.348795774752352e-01,9.305222647202079e-03,-1.937111356073700e-05,-1.320838335047490e-05,1.726816134720006e-08,-1.473542082179257e-10,3.669479842188580e-10,0.000000000000000e+00,
1836,7.653061224489797e-01,5.331170420579078e-01,1.196308997353853e-02,-2.480338398411303e-05,-1.648396782078652e-05,2.191042380483480e-08,6.420343526756526e-11,1.572916859030129e-10,0.000000000000000e+00,
1837,7.448979591836735e-01,5.313545066405805e-01,1.055074109095713e-02,-2.191604249350619e-05,-1.469465057848741e-05,1.946294365051085e-08,6.454932436343100e-11,7.841606881594781e-11,0.000000000000000e+00,
1838,7.244897959183675e-01,5.295919712232530e-01,1.231320531076862e-02,-2.571623699565213e-05,-1.763371552167601e-05,2.309047163951764e-08,2.127206537168371e-11,2.578950363345242e-11,0.000000000000000e+00,
1839,7.040816326530615e-01,5.278294358059258e-01,1.188855249629881e-02,-2.470463098808919e-05,-1.658354982324728e-05,2.196796093579161e-08,1.784074000278001e-12,5.358392518641887e-13,0.000000000000000e+00,
1840,6.836734693877553e-01,5.260669003885984e-01,1.223040874489566e-02,-2.546346515594434e-05,-1.720160207615454e-05,2.271560068086478e-08,-8.925123424453059e-13,-2.837230895743881e-12,0.000000000000000e+00,
1841,6.632653061224489e-01,5.243043649712709e-01,1.228391833362888e-02,-2.552352866043530e-05,-1.713535087794995e-05,2.268518075615106e-08,-3.181695528526806e-13,-9.047811824696251e-13,0.000000000000000e+00,
1842,6.428571428571428e-01,5.225418295539435e-01,1.207281381843978e-02,-2.507956812321528e-05,-1.677672887860175e-05,2.225273267606027e-08,-7.342089521225970e-14,-1.352231727536137e-13,0.000000000000000e+00,
1843,6.224489795918369e-01,5.207792941366162e-01,1.211023962475032e-02,-2.512434766232235e-05,-1.679790581255062e-05,2.226246588975770e-08,-2.396653627676620e-14,-3.207025695296753e-14,0.000000000000000e+00,
1844,6.020408163265307e-01,5.190167587192891e-01,1.191454319321420e-02,-2.471712023832747e-05,-1.645180436985547e-05,2.186186657175315e-08,-2.975311710312003e-15,1.675438143280959e-14,0.000000000000000e+00,
1845,5.816326530612246e-01,5.172542233019619e-01,1.189708850892022e-02,-2.467585899151696e-05,-1.643981822223611e-05,2.182672973376132e-08,1.047388621856452e-15,1.808970347299289e-14,0.000000000000000e+00,
1846,5.612244897959184e-01,5.154916878846343e-01,1.186797033877141e-02,-2.462371153631721e-05,-1.635196021785942e-05,2.175189341798570e-08,3.739445074732786e-16,1.500577503844300e-16,0.000000000000000e+00,
1847,5.408163265306123e-01,5.137291524673069e-01,1.184351988259788e-02,-2.456709019390202e-05,-1.635443603298820e-05,2.172284639148975e-08,2.884956800408540e-16,-3.320341008206881e-15,0.000000000000000e+00,
1848,5.204081632653061e-01,5.119666170499796e-01,1.191912254468892e-02,-2.473949015935350e-05,-1.642011616196378e-05,2.184830084934694e-08,1.455807553582461e-16,-5.519784683255238e-16,0.000000000000000e+00,
1849,5.000000000000000e-01,5.102040816326522e-01,1.166097989881130e-02,-2.420472121304719e-05,-1.606735983182706e-05,2.137986315327680e-08,9.003828648643255e-18,4.375648779260287e-16,0.000000000000000e+00,
1850,4.800000000000000e-01,5.102040816326524e-01,1.141806497647017e-02,-2.370495213212092e-05,-1.573270749456785e-05,2.093368259705507e-08,9.080721020244961e-17,2.270643378323490e-16,0.000000000000000e+00,
1851,4.600000000000001e-01,5.102040816326522e-01,1.135465046496478e-02,-2.356853384271779e-05,-1.566297598958766e-05,2.083086038719687e-08,3.143913251325041e-17,-6.872858739647275e-17,0.000000000000000e+00,
1852,4.399999999999999e-01,5.102040816326523e-01,1.137212212434562e-02,-2.360688679471028e-05,-1.569396810693641e-05,2.086491667494623e-08,6.217797818554813e-17,-1.158851465350409e-16,0.000000000000000e+00,
1853,4.199999999999999e-01,5.102040816326522e-01,1.137469511319370e-02,-2.361229393011257e-05,-1.569753500333683e-05,2.087165124013181e-08,-5.208747839563308e-17,-6.861977624118496e-17,0.000000000000000e+00,
1854,3.999999999999999e-01,5.102040816326523e-01,1.137741392755257e-02,-2.361794839382449e-05,-1.570150005047770e-05,2.087606741968683e-08,-1.044554854952818e-16,-5.295586158919575e-17,0.000000000000000e+00,
1855,3.799999999999999e-01,5.102040816326524e-01,1.137434350873903e-02,-2.361010676511147e-05,-1.569199650328210e-05,2.086871784776296e-08,8.271458675994452e-18,1.299364345004970e-17,0.000000000000000e+00,
1856,3.599999999999999e-01,5.102040816326524e-01,1.137250872833493e-02,-2.360636763324878e-05,-1.568952774108872e-05,2.086512077095460e-08,-2.714155330886467e-17,-1.104925988872424e-18,0.000000000000000e+00,
1857,3.400000000000000e-01,5.102040816326524e-01,1.137203285466231e-02,-2.360537790326035e-05,-1.568890303012414e-05,2.086433192369327e-08,-2.754137226580872e-17,-3.505975968838970e-17,0.000000000000000e+00,
1858,3.200000000000000e-01,5.102040816326525e-01,1.136958112961741e-02,-2.360016071911132e-05,-1.568496970280295e-05,2.085937994369546e-08,9.897500699879920e-17,-5.522856558961374e-17,0.000000000000000e+00,
1859,3.000000000000000e-01,5.102040816326526e-01,1.136912847167535e-02,-2.359892225334268e-05,-1.568373747052135e-05,2.085797780685642e-08,7.680096760553033e-17,1.465088546032802e-17,0.000000000000000e+00,
1860,2.800000000000000e-01,5.102040816326525e-01,1.136818328366442e-02,-2.359697552043383e-05,-1.568211572308918e-05,2.085620282420314e-08,8.400419228641927e-18,-1.426062673371151e-17,0.000000000000000e+00,
1861,2.600000000000000e-01,5.102040816326526e-01,1.136751410033182e-02,-2.359556210381418e-05,-1.568110002191235e-05,2.085490503567892e-08,3.117989535844087e-17,4.813391701513604e-17,0.000000000000000e+00,
1862,2.400000000000000e-01,5.102040816326526e-01,1.136875642274471e-02,-2.359824666809892e-05,-1.568249658303342e-05,2.085744216907198e-08,-3.178525958161757e-17,1.118714872384850e-16,0.000000000000000e+00,
1863,2.200000000000000e-01,5.102040816326526e-01,1.136813617537213e-02,-2.359702293103612e-05,-1.568200182888365e-05,2.085653091614572e-08,-2.281143747368092e-17,-3.037302532309328e-17,0.000000000000000e+00,
1864,2.000000000000000e-01,5.102040816326527e-01,1.137068730905777e-02,-2.360250820295472e-05,-1.568530005827104e-05,2.086170815059508e-08,2.421978722283865e-17,-3.396336224898860e-17,0.000000000000000e+00,
1865,1.799999999999999e-01,5.102040816326526e-01,1.137191956901226e-02,-2.360527143303728e-05,-1.568753753617340e-05,2.086455217393716e-08,-1.653641488451114e-17,-3.594695107512888e-17,0.000000000000000e+00,
1866,1.600000000000000e-01,5.102040816326527e-01,1.137300781048228e-02,-2.360756278722379e-05,-1.568860534461613e-05,2.086660557196018e-08,-5.708016944860516e-17,-2.480643303090548e-17,0.000000000000000e+00,
1867,1.400000000000001e-01,5.102040816326529e-01,1.137589237818702e-02,-2.361406939949871e-05,-1.569404856438670e-05,2.087328162068103e-08,-2.631063490333451e-18,5.080170378666122e-17,0.000000000000000e+00,
