"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
54, -1.890244170429226e-02, 4.844280637592061e-02, 0.000000000000000e+00, 5.298909987856877e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.237593130663598e+04
55, -1.483750503909382e-02, 4.983830089573648e-02, 0.000000000000000e+00, 5.234770595704113e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.098288014717840e+04
56, -1.067121316944614e-02, 5.089334928506221e-02, 0.000000000000000e+00, 5.168795751044421e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.005964929905612e+04
57, -6.432026093383381e-03, 5.160074449359367e-02, 0.000000000000000e+00, 5.100625272355626e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 9.489915662401061e+03
58, -2.148901757114115e-03, 5.195565429476732e-02, 0.000000000000000e+00, 5.030001388158013e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 9.208709277887150e+03
59, 2.148901757113957e-03, 5.195565429476733e-02, 0.000000000000000e+00, 4.956466997635997e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 9.208666217757749e+03
60, 6.432026093383225e-03, 5.160074449359369e-02, 0.000000000000000e+00, 4.879978209255526e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 9.489739375060793e+03
61, 1.067121316944603e-02, 5.089334928506223e-02, 0.000000000000000e+00, 4.800491907739102e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.005923362562664e+04
62, 1.483750503909371e-02, 4.983830089573651e-02, 0.000000000000000e+00, 4.717879700719357e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.098208621440182e+04
63, 1.890244170429216e-02, 4.844280637592065e-02, 0.000000000000000e+00, 4.632135044892232e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.237456213045218e+04
64, 2.283825552582660e-02, 4.671639836819779e-02, 0.000000000000000e+00, 4.543190357348335e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.443689772647997e+04
65, 2.661806090443319e-02, 4.467086998981537e-02, 0.000000000000000e+00, 4.450988335412363e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.751937924044298e+04
66, 3.021603793670383e-02, 4.232019427373623e-02, 0.000000000000000e+00, 4.355219027104695e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.226312472009522e+04
67, 3.360760879120738e-02, 3.968042871865503e-02, 0.000000000000000e+00, 4.255261104503538e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.992567796902129e+04
68, 3.048738874631904e-02, 3.048738874631904e-02, 0.000000000000000e+00, 4.195280253440472e+01, 6.307321457996078e-01, -3.118758713383545e-01, 9.220074944646724e+00, 1.039869834062274e+00, 6.483267376639229e+02
69, 3.145192258713621e-02, 3.145192258713621e-02, 0.000000000000000e+00, 4.177680800324224e+01, 6.268854651540320e-01, -3.425760038100372e-01, 8.925324281623750e+00, 1.101530749369221e+00, 7.598145121777573e+02
70, 3.232000304177427e-02, 3.232000304177427e-02, 0.000000000000000e+00, 4.162783753317028e+01, 6.244530485892511e-01, -3.730890791170366e-01, 8.616442128253214e+00, 1.157275673914116e+00, 9.005186625125701e+02
71, 3.310127545142553e-02, 3.310127545142553e-02, 0.000000000000000e+00, 4.150448749564639e+01, 6.233875400574425e-01, -4.034727201281613e-01, 8.286372889874141e+00, 1.209649452649883e+00, 1.087872163488018e+03
72, 3.380442061904142e-02, 3.380442061904142e-02, 0.000000000000000e+00, 4.140387306103194e+01, 6.232411700974236e-01, -4.333745348000727e-01, 7.924207173561545e+00, 1.262128844075309e+00, 1.352515388776091e+03
73, 3.443725127175858e-02, 3.443725127175858e-02, 0.000000000000000e+00, 4.132356164792319e+01, 6.229072390241255e-01, -4.619305499834002e-01, 7.512738517072290e+00, 1.319288613248761e+00, 1.752258845667612e+03
74, 3.500679885891964e-02, 3.500679885891964e-02, 0.000000000000000e+00, 4.126247495012261e+01, 6.198643581718239e-01, -4.870062793135559e-01, 7.022995409970952e+00, 1.387786931920854e+00, 2.408816828502526e+03
75, 3.551939168751238e-02, 3.551939168751238e-02, 0.000000000000000e+00, 4.121336033924572e+01, 6.080768208532784e-01, -5.035774739312920e-01, 6.401444657507319e+00, 1.479173463599811e+00, 3.620147527613710e+03
76, 3.598072523239837e-02, 3.598072523239837e-02, 0.000000000000000e+00, 4.119505506961669e+01, 5.724958509937772e-01, -4.968656715881722e-01, 5.534399107758104e+00, 1.622872043670149e+00, 6.310860688081050e+03
77, 3.639592542364795e-02, 3.639592542364795e-02, 0.000000000000000e+00, 4.110109117811198e+01, 4.612727149659275e-01, -4.237934229557420e-01, 4.042531597355504e+00, 1.814478116846711e+00, 1.431668394146866e+04
78, -3.048738874631904e-02, 3.048738874631904e-02, 0.000000000000000e+00, 5.569122070601976e+01, 4.977907050745417e-01, 2.129653722360140e-01, 7.573150666354461e+00, 1.136158574271261e+00, 7.675176222235085e+02
79, -3.145192258713621e-02, 3.145192258713621e-02, 0.000000000000000e+00, 5.580624322250637e+01, 4.910331074279577e-01, 2.382539791930395e-01, 7.192713149143045e+00, 1.188874716816821e+00, 8.940818393120069e+02
80, -3.232000304177427e-02, 3.232000304177427e-02, 0.000000000000000e+00, 5.589919071365056e+01, 4.850618734943085e-01, 2.636407424998686e-01, 6.797505300144578e+00, 1.233338288074781e+00, 1.051333790784865e+03
81, -3.310127545142553e-02, 3.310127545142553e-02, 0.000000000000000e+00, 5.597551443857725e+01, 4.795476854946887e-01, 2.889551719903019e-01, 6.381612934981968e+00, 1.268668746733428e+00, 1.252415556284955e+03
